
Heavy Machinery Truck Sales Executive,ST-ONE Machinery,"We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …",N/A,N/A,N/A,N/A,N/A,2025-04-14 10:23:15
Sales and Business Development Officer,N/A,"We are looking for a young at heart, genuine, quick thinker, self starter, dynamic and results-driven person who will be responsible for developing and implementing marketing strategies to drive brand growth, increase sales, and enhance our market position. The role involves assisting in digital marketing, content creation, market research, event …",Harare,Expires 07 May 2025,Full Time,TBA,"Posted 20 hours, 20 minutes",2025-04-14 10:23:15
Personal Assistant to CEO,Southsea Investments Pvt Ltd,An exciting opportunity has arisen for suitably qualified and self-driven individuals in a leading diversified conglomerate for the position of Personal Assistant (PA to CEO). The successful candidate will be responsible for driving business performance through providing administrative and secretarial support to the CEO.,N/A,N/A,N/A,N/A,N/A,2025-04-14 10:23:15
Supply Chain Attachee (Mutare Branch),Nash Paints,"Nash Paints is looking for a Procurement, Purchasing and Supply Chains Management Attachee to join their organization.",Mutare,Expires 14 Apr 2025,Full Time,TBA,"Posted 2 days, 18 hours",2025-04-14 10:23:15
SALES AND MARKETING  INTERN,Nash Paints,Nash Paints is looking for a Sales and Marketing Attachees to join their organization.,Mutare,Expires 14 Apr 2025,Full Time,TBA,"Posted 2 days, 18 hours",2025-04-14 10:23:15
Sales Representative - Gokwe,N/A,"Deadline :14 April 2025 Job Description We are looking for self-driven and enthusiastic sales people to join our company in the motor spares industry, the individual must be based in Gokwe.",Gokwe,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 19 hours",2025-04-14 10:23:15
General Hand,N/A,Location: Harare Job Description We are looking for a Cleaner to carry out cleaning of our facilities on fixed-term contract.,Harare,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 20 hours",2025-04-14 10:23:15
Business Development Executive,N/A,BUSINESS DEVELOPMENT EXECUTIVE,Harare,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 20 hours",2025-04-14 10:23:15
Sales Champion -Solar  Project,Nash Furnishers,"We are seeking a highly motivated and experienced Sales Champion to lead our solar project. The successful candidate will be responsible for driving sales growth, building relationships with key customers, and identifying new business opportunities in the solar industry",Harare,Expires 21 Apr 2025,Full Time,TBA,"Posted 2 days, 21 hours",2025-04-14 10:23:15
Finance Graduate Trainee: Cospharm,N/A,FINANCE GRADUATE TRAINEE WE ARE SEEKING A DYNAMIC INDIVIDUAL TO JOIN OUR FINANCE DEPARTMENT BASED IN HARARE. A DAY IN THE LIFE OF A FINANCE GRADUATE TRAINEE WILL INCLUDE:,Harare,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 21 hours",2025-04-14 10:23:15
Heavy Machinery Truck Sales Executive,ST-ONE Machinery,"We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …",N/A,N/A,N/A,N/A,N/A,2025-04-14 10:23:46
Sales and Business Development Officer,N/A,"We are looking for a young at heart, genuine, quick thinker, self starter, dynamic and results-driven person who will be responsible for developing and implementing marketing strategies to drive brand growth, increase sales, and enhance our market position. The role involves assisting in digital marketing, content creation, market research, event …",Harare,Expires 07 May 2025,Full Time,TBA,"Posted 20 hours, 20 minutes",2025-04-14 10:23:46
Personal Assistant to CEO,Southsea Investments Pvt Ltd,An exciting opportunity has arisen for suitably qualified and self-driven individuals in a leading diversified conglomerate for the position of Personal Assistant (PA to CEO). The successful candidate will be responsible for driving business performance through providing administrative and secretarial support to the CEO.,N/A,N/A,N/A,N/A,N/A,2025-04-14 10:23:46
Supply Chain Attachee (Mutare Branch),Nash Paints,"Nash Paints is looking for a Procurement, Purchasing and Supply Chains Management Attachee to join their organization.",Mutare,Expires 14 Apr 2025,Full Time,TBA,"Posted 2 days, 18 hours",2025-04-14 10:23:46
SALES AND MARKETING  INTERN,Nash Paints,Nash Paints is looking for a Sales and Marketing Attachees to join their organization.,Mutare,Expires 14 Apr 2025,Full Time,TBA,"Posted 2 days, 18 hours",2025-04-14 10:23:46
Sales Representative - Gokwe,N/A,"Deadline :14 April 2025 Job Description We are looking for self-driven and enthusiastic sales people to join our company in the motor spares industry, the individual must be based in Gokwe.",Gokwe,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 19 hours",2025-04-14 10:23:46
General Hand,N/A,Location: Harare Job Description We are looking for a Cleaner to carry out cleaning of our facilities on fixed-term contract.,Harare,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 20 hours",2025-04-14 10:23:46
Business Development Executive,N/A,BUSINESS DEVELOPMENT EXECUTIVE,Harare,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 20 hours",2025-04-14 10:23:46
Sales Champion -Solar  Project,Nash Furnishers,"We are seeking a highly motivated and experienced Sales Champion to lead our solar project. The successful candidate will be responsible for driving sales growth, building relationships with key customers, and identifying new business opportunities in the solar industry",Harare,Expires 21 Apr 2025,Full Time,TBA,"Posted 2 days, 21 hours",2025-04-14 10:23:46
Finance Graduate Trainee: Cospharm,N/A,FINANCE GRADUATE TRAINEE WE ARE SEEKING A DYNAMIC INDIVIDUAL TO JOIN OUR FINANCE DEPARTMENT BASED IN HARARE. A DAY IN THE LIFE OF A FINANCE GRADUATE TRAINEE WILL INCLUDE:,Harare,Expires 18 Apr 2025,Full Time,TBA,"Posted 2 days, 21 hours",2025-04-14 10:23:46
